Genre,Count
3 Doors Down,1
pirate metal,1
true scottish pirate metal,1
Scottish,1
cymraeg,1
rock pop brasilian,1
rio de janeiro,1
abstract hip-hop,1
party metal,1
Delete,1
Neue Deutsche Welle,1
Spanish Metal,1
progressive trance,1
vocal trance,1
suomi metalli,1
mikkelicore,1
United Kingdom,1
British Male Vocalists,1
the masked singer,1
Colombia,1
bangla,1
progressive black metal,1
bb king,1
indie lo-fi,1
melodic heavy metal,1
yanfire,1
yan drive,1
clarinet,1
rocky,1
score,1
Great Lyricist,1
green day,1
House,1
dark ambient,1
Blake Shelton,1
male country,1
My Country,1
liszaj radio,1
jam band,1
songwriter,1
gareth johnson,1
Real Country,1
trashpop,1
Britney Spears,1
legend,1
r&b,1
slow jams,1
giovanni lindo ferretti,1
french hard rock,1
bang bang bang,1
cassia eller,1
detroit techno,1
bebop,1
Post-Bop,1
twist,1
bangladeshi,1
germany,1
Rap-Rock,1
jazz piano,1
cool jazz,1
Eurovision,1
female fronted,1
rock doido,1
christian metal,1
Surf,1
saxophone,1
zoophile,1
pidor,1
xyecoc,1
Black Rock,1
funk-rock,1
powerviolence,1
Technical Metalcore,1
reggae-pop,1
chanson francaise,1
post hardcore,1
hillbilly,1
Alt-country,1
vi ao vivo,1
trash rock,1
hardpop,1
Fistt,1
musical,1
musicals,1
chillout,1
glam,1
40s,1
swiss,1
Led Zeppelin,1
Romanian Hip-Hop,1
Guess Who,1
crappy punk rock,1
latvia,1
thrashcore,1
downbeat,1
California,1
los angeles,1
Vancouver,1
FM,1
hudson,1
Neue Deutsche Haerte,1
sal,1
impractical jokers,1
seen live more than once,1
jane's addiction,1
brutal deathcore,1
ytmnd,1
indescribable,1
desert rock,1
Finnish prog,1
indie folk,1
Skillet,1
Ballad,1
progressive hardcore,1
k-pop,1
funky town,1
Skinhead,1
argentina,1
Rock Argentino,1
jazz vocal,1
Post-Black Metal,1
opera,1
tenor,1
Italian Opera,1
chinese,1
Bahia Rock,1
METAAAAAAAAAAAAAAAAAAAAAAAAAAAAAL,1
maximun the hormone,1
japan,1
mistagged,1
tornado of souls,1
azeri rock,1
azerbaijan,1
AzRock,1
azeri,1
mingus,1
genius,1
hippy hop,1
Chicago Blues,1
Classic Blues,1
delta blues,1
girl power,1
female,1
Brazilian thrash metal,1
proto-punk,1
fictional,1
russian rap,1
depressive black metal,1
raw punk,1
RapMetal,1
3,1
Psychedelic Soul,1
hardcore melodico,1
hardcore do terceiro mundo,1
Technical Metal,1
coldwave,1
Russian Post-Punk,1
ragtime,1
new metal,1
nesodden,1
satanic,1
avantgarde,1
chillwave,1
Czech,1
rascal flatts,1
country pop,1
spotify,1
4,1
english,1
drums,1
football,1
hala madrid,1
soccer,1
beatdown hardcore,1
beatdown,1
electro,1
hungarian,1
DarkLight,1
Milled Pavement,1
rock boaro,1
london,1
00s,1
Technical Death Metal,1
raw black metal,1
symphonic death metal,1
atmospheric death metal,1
seu cuca,1
children s-childrens,1
male vocalist,1
great guitar and voice,1
electronic rock,1
space rock,1
Pop-punk,1
rock brasil,1
Parana,1
virtuosos,1
AOR,1
Norway,1
dreampop,1
noisecore,1
great,1
awful,1
noisecole,1
Rock Music,1
arizona rock,1
live,1
Christian Metalcore,1
60s garage,1
british invasion,1
doo wop,1
celtic,1
Celtic Modern Music,1
indiepop,1
Belgium,1
madchester,1
toadies,1
prog-rnb,1
rock-hard,1
african,1
world,1
mali,1
World Music,1
great guitarists,1
guitarists,1
