Artist,Genre
+44,pop punk
3 doors down,rock
30 seconds to mars,alternative rock
311,alternative
5 seconds of summer,pop rock
a day to remember,post-hardcore
a perfect circle,alternative rock
acdc,hard rock
afi,punk
aka george,indie
axty,metalcore
accept,heavy metal
adelitas way,alternative rock
adema,Nu Metal
aerosmith,rock
against me!,punk
against the current,pop punk
airbourne,hard rock
akado,industrial
alestorm,folk metal
alffa,rock
aliados,rock
alice cooper,hard rock
alice in chains,Grunge
alien ant farm,rock
all american rejects,alternative rock
all that remains,metalcore
all time low,pop punk
all the postcards,punk
allison,pop punk
alt-j,indie
alter bridge,rock
amaranthe,Melodic Death Metal
amatory,metalcore
american authors,indie
american avenue,emo
american hi-fi,rock
amy shark,pop
amy winehouse,soul
anacondaz,Hip-Hop
anarbor,pop punk
andrew w. k.,rock
andrew watt,rock
andy black,rock
andy grammer,pop
angels & airwaves,alternative rock
angie,pop
ankor,metal
annisokay,post-hardcore
anouk,rock
anthrax,thrash metal
anti-flag,punk
apocalyptica,symphonic metal
april wine,classic rock
architects,metalcore
arctic monkeys,indie rock
aretha franklin,soul
armin van buuren,trance
art of dying,alternative rock
art of anarchy,hard rock
as i may,metalcore
asking alexandria,post-hardcore
aston merrygold,pop
aterciopelados,Colombia
atlantida project,cyberfolk
atreyu,metalcore
audioslave,rock
audrey horne,hard rock
aurthohin,bangla
autoramas,Garage Rock
avatar,Melodic Death Metal
avenged sevenfold,metalcore
averse,progressive black metal
avril lavigne,pop
awolnation,electronic
bb king,blues
bones uk,industrial rock
brvnks,indie pop
btrx,rock
babamania,J-rock
bad 4 good,hard rock
bad omens,metalcore
bad religion,punk
bad wolves,groove metal
badflower,rock
baha men,reggae
baleia,brazil
baroness,Sludge
barrett strong,soul
beartooth,post-hardcore
beast in black,Power metal
beastie boys,Hip-Hop
bee gees,Disco
beginners,indie rock
ben e king,soul
benny goodman,jazz
betzefer,metalcore
beware of darkness,indie rock
beyond the black,symphonic metal
beyond unbroken,alternative rock
big data,electronic
bikini kill,riot grrrl
bill conti,Soundtrack
billie joe armstrong,punk
billy idol,rock
billy ocean,80s
billy talent,punk rock
bishop briggs,indie
biting elbows,alternative
black coffee,House
black days,brazil
black eyed peas,Hip-Hop
black label society,heavy metal
black light burns,industrial rock
black pistol fire,blues rock
black rain,dark ambient
black rebel motorcycle club,rock
black sabbath,heavy metal
black smoke trigger,alternative rock
black star riders,hard rock
black stone cherry,hard rock
black veil brides,post-hardcore
blackberry smoke,Southern Rock
blacklite district,alternative metal
blake shelton,country
bleeker,rock
blind guardian,Power metal
blind pigs,punk rock
blink-182,punk rock
blondie,new wave
blood red shoes,indie rock
bloodywood,metal
blue stahli,industrial
blue swede,classic rock
blues pills,blues rock
blues saraceno,instrumental rock
blues traveler,blues
blur,britpop
bob bradley,television
body count,crossover
boikot,punk rock
bon jovi,rock
bonnie tyler,80s
bowling for soup,pop punk
boxcar racer,pop punk
boys like girls,pop punk
brand new,emo
brantley gilbert,country
breaking benjamin,alternative rock
breakout,blues
bring me the horizon,deathcore
britney spears & deftones,pop
britney spears,pop
brody dalle,rock
bruno mars,pop
brutto,rock
buckcherry,hard rock
buckethead,experimental
bullet bane,hardcore
bullet for my valentine,metalcore
bury tomorrow,metalcore
bush,Grunge
cpm 22,hardcore
csi,alternative
cab calloway,jazz
caesars,indie
cage the elephant,indie rock
caju e castanha,rap
cake,alternative
calva louise,Garage Rock
cam cole,blues
caméléon,under 2000 listeners
caparezza,italian
capital cities,electronic
capital inicial,rock
captives,rock
carl carlton,funk
casey edwards,Soundtrack
cassia eller,mpb
catfish and the bottlemen,indie rock
cefa,post-hardcore
chameleon,Drum and bass
charles mingus,jazz
charlie brown jr,alternative rock
chase & status and blossoms,Drum and bass
cherri bomb,rock
chester bennington,alternative rock
chevelle,alternative rock
chic,Disco
chubby checker,rock n roll
chuck berry,rock n roll
cinderella,hard rock
cleopatrick,rock
clutch,Stoner Rock
comeback kid,hardcore
counting crows,rock
cracker blues,blues
crash kings,indie rock
creed,rock
creedence clearwater revival,classic rock
crown the empire,post-hardcore
crucified barbara,hard rock
cryptic fate,heavy metal
crystal palace,Progressive rock
cult to follow,alternative metal
d-a-d,hard rock
diamante,hard rock
dan croll,indie pop
dan owen,singer-songwriter
dandy warhols,indie
dangerkids,post-hardcore
danzig,heavy metal
darshan,goa
darude,trance
dashboard confessional,emo
dave brubeck,jazz
dayseeker,post-hardcore
daði freyr,icelandic
dead fish,hardcore
dead kennedys,punk
dead posey,rock
dead sara,rock
death from above,d-beat
deb and the mentals,Grunge
decyfer down,christian rock
dee snider,heavy metal
deepfield,alternative rock
def leppard,hard rock
default,rock
delain,symphonic metal
demon hunter,metalcore
der baum,new wave
des rocs,rock
desakato,punk rock
descendents,punk
devilskin,hard rock
dibob,hardcore
dick dale,surf rock
dirty honey,hard rock
dirty loops,funk
disaster cities,indie
discharge,hardcore punk
discrepancies,rapcore
disturbed,metal
dona cislene,rock
dope,industrial metal
doro,heavy metal
dorothy,rock
downplay,alternative rock
downset,hardcore
dr. saxlove,jazz
drag me out,govno
dragged under,post-hardcore
dragonforce,Power metal
dream state,post-hardcore
dropkick murphys,punk
drowning pool,Nu Metal
drugs,funk
durry,indie rock
dust in mind,industrial metal
dylan,Drum and bass
emf,90s
erra,Progressive Metalcore
etno,brazil
eagles,classic rock
"earth, wind & fire",funk
eddy grant,reggae
edith piaf,french
egypt central,alternative rock
elle king,indie pop
elvis presley,rock n roll
elyose,Female fronted metal
eminem,rap
emmercia,metalcore
ennio morricone,Soundtrack
escape the fate,post-hardcore
eskimo callboy,post-hardcore
