Genre,Count
spanish,5
Pop Metal,5
Big Band,5
riot grrrl,5
guitar virtuoso,5
mpb,5
trancecore,5
horror punk,5
darkstep,5
Classical,5
p-funk,5
south african,5
covers,5
Ukrainian,5
carnaval,5
palmeiras,5
melodic metal,5
rock contemporaneo,5
welsh,6
dutch,6
Southern metal,6
New Zealand,6
Romanian,6
Oi,6
j-pop,6
stoner metal,6
oriental metal,6
tunisian,6
old school,6
street punk,6
russian alternative,7
acoustic,7
mathcore,7
rap metal,7
rock nacional,7
canada,7
dream pop,7
Progressive Metalcore,7
russian rock,7
rock'n'roll,7
accidently awesome,7
folk punk,8
modern metal,8
latin,8
black metal,8
synthpop,8
electronica,8
power pop,8
govno,8
Pop-Rock,9
male vocalists,9
sludge metal,9
Gothic Glam,9
under 2000 listeners,9
dnb,9
doom metal,9
austrian,9
DJENT,10
Sludge,10
Gothic Rock,10
ronnie radke,10
spain,10
Power Trio,10
paraense,10
french,11
skate punk,11
Drum n Bass,11
stoner,11
female vocalist,11
motown,12
guitar,12
irish,12
countrycore,12
reggae,13
rhythm and blues,13
Glam Metal,13
Crust,13
finnish,14
Psychedelic Rock,14
d-beat,14
elvis metal,14
symphonic metal,15
J-rock,15
Soundtrack,15
UK,16
powerpop,16
japanese,16
Disco,16
new wave,16
melodic metalcore,16
comedy,16
post-punk,17
Drum and bass,17
folk metal,18
industrial rock,18
crossover,18
instrumental,19
Gothic Metal,19
Gothic,19
modern rock,21
metal cover,21
norwegian,22
death metal,23
rnb,23
Melodic Death Metal,24
90s,24
USA,25
american,26
dance,26
political punk,26
psychedelic,26
christian rock,26
jazz,27
NWOBHM,27
deathcore,28
christian,29
brazil,30
country,30
italian,30
rockabilly,30
britpop,31
Female fronted metal,32
ska punk,37
groove metal,38
singer-songwriter,39
oldies,40
hardcore punk,40
indie pop,41
hair metal,41
experimental,42
rock n roll,43
swedish,43
Power metal,45
Progressive metal,45
hip hop,46
Southern Rock,46
folk,49
brasil,49
german,50
russian,54
pop rock,56
glam rock,57
ska,58
brazilian rock,58
industrial metal,60
soul,61
Nu-metal,62
60s,64
australian,66
industrial,67
political,70
Canadian,70
rapcore,71
emocore,72
speed metal,73
blues,74
Rock and Roll,77
rap,78
Progressive rock,81
Hip-Hop,81
Stoner Rock,87
70s,90
electronic,96
thrash metal,96
Funk Rock,99
melodic hardcore,101
post-grunge,108
Garage Rock,114
Grunge,117
screamo,121
80s,122
blues rock,142
alternative metal,145
funk,152
pop,156
emo,198
post-hardcore,202
,202
british,213
Nu Metal,222
metalcore,223
brazilian,229
female vocalists,238
pop punk,332
heavy metal,349
classic rock,362
indie rock,378
hardcore,414
indie,438
punk rock,545
punk,582
metal,772
hard rock,836
alternative rock,1034
alternative,1382
rock,2587
